problem_group,health,n,group_total,proportion
0,Good,356857,426328,0.8370480006004767
0,Fair,53962,426328,0.1265739055375204
0,Poor,15509,426328,0.03637809386200296
1,Good,127962,162552,0.7872065554407205
1,Fair,28004,162552,0.17227717899502928
1,Poor,6586,162552,0.04051626556425021
2,Good,34403,47750,0.7204816753926702
2,Fair,10443,47750,0.21870157068062826
2,Poor,2904,47750,0.06081675392670157
3+,Good,9628,15542,0.6194826920602239
3+,Fair,4095,15542,0.2634796036546133
3+,Poor,1819,15542,0.11703770428516279
