spc_common,health,n,species_total,proportion
Norway maple,Poor,3779,34189,0.11053262745327444
maple,Poor,639,7080,0.0902542372881356
horse chestnut,Poor,93,1096,0.08485401459854014
sugar maple,Poor,234,2844,0.08227848101265822
crimson king maple,Poor,450,5923,0.07597501266250212
eastern redbud,Poor,280,3801,0.07366482504604052
sycamore maple,Poor,180,2731,0.06590992310508971
dawn redwood,Poor,199,3020,0.06589403973509934
serviceberry,Poor,133,2032,0.0654527559055118
tulip-poplar,Poor,70,1076,0.06505576208178439
hawthorn,Poor,193,2988,0.0645917001338688
bald cypress,Poor,80,1261,0.063441712926249
European hornbeam,Poor,130,2099,0.06193425440686041
flowering dogwood,Poor,96,1552,0.061855670103092786
American hornbeam,Poor,93,1517,0.061305207646671064
littleleaf linden,Poor,1720,29742,0.057830677156882525
common hackberry,Poor,132,2382,0.055415617128463476
American linden,Poor,742,13530,0.05484109386548411
white oak,Poor,92,1686,0.054567022538552785
mulberry,Poor,62,1157,0.05358686257562662
ginkgo,Poor,1118,21024,0.05317732115677321
American hophornbeam,Poor,57,1081,0.05272895467160037
red maple,Poor,896,17246,0.05195407630754958
white ash,Poor,58,1121,0.05173951828724353
Japanese maple,Poor,57,1130,0.050442477876106194
scarlet oak,Poor,73,1465,0.049829351535836175
purple-leaf plum,Poor,342,6879,0.04971652856519843
'Schubert' chokecherry,Poor,242,4888,0.049509001636661214
Amur maple,Poor,100,2049,0.04880429477794046
Japanese tree lilac,Poor,220,4568,0.04816112084063047
Amur maackia,Poor,105,2197,0.04779244424214838
silver maple,Poor,559,12277,0.045532296163557875
Cornelian cherry,Poor,48,1066,0.0450281425891182
cherry,Poor,1305,29279,0.04457119437139247
shingle oak,Poor,46,1049,0.0438512869399428
crab apple,Poor,144,3527,0.04082789906436065
Kentucky coffeetree,Poor,136,3364,0.04042806183115339
Schumard's oak,Poor,60,1487,0.04034969737726967
ash,Poor,102,2609,0.039095438865465695
swamp white oak,Poor,255,6598,0.03864807517429524
hedge maple,Poor,91,2550,0.03568627450980392
Callery pear,Poor,2089,58931,0.035448236072695184
eastern redcedar,Poor,39,1101,0.035422343324250684
American elm,Poor,268,7975,0.03360501567398119
silver linden,Poor,263,7995,0.032895559724828015
northern red oak,Poor,274,8400,0.03261904761904762
black oak,Poor,43,1327,0.03240391861341371
golden raintree,Poor,120,3719,0.032266738370529714
Siberian elm,Poor,51,1595,0.03197492163009404
Sophora,Poor,616,19338,0.03185437997724687
willow oak,Poor,99,3184,0.031092964824120602
Chinese elm,Poor,161,5345,0.03012160898035547
black locust,Poor,53,1784,0.029708520179372196
sweetgum,Poor,303,10657,0.02843201651496669
English oak,Poor,44,1644,0.0267639902676399
Japanese zelkova,Poor,782,29258,0.026727732585959396
green ash,Poor,428,16250,0.02633846153846154
London planetree,Poor,2198,87014,0.02526030293975682
pin oak,Poor,1235,53185,0.023220832941618877
sawtooth oak,Poor,48,2244,0.0213903743315508
honeylocust,Poor,1190,64263,0.018517654015529933
