spc_common,n,proportion
London planetree,87014,0.13342185803745024
honeylocust,64263,0.09853688904154119
Callery pear,58931,0.0903611317259864
pin oak,53185,0.08155057254834615
Norway maple,34189,0.052423287108308854
littleleaf linden,29742,0.045604533773299066
cherry,29279,0.04489459835748851
Japanese zelkova,29258,0.044862398263034904
ginkgo,21024,0.03223689456155738
Sophora,19338,0.029651686978281803
red maple,17246,0.02644394423556976
green ash,16250,0.02491673975576995
American linden,13530,0.020746060855111843
silver maple,12277,0.01882478855271309
sweetgum,10657,0.016340781266291713
